FIPS,2018,2014,2017,2015,2021,2019,2023,2020,2016,2022,2013,2012,2010,2024
02090,1197,659,1158,764,1748,1308,969,1649,1073,1608,,,,
05117,74,44,81,54,45,72,50,44,,95,17,,,
05083,328,66,260,211,228,343,,107,330,219,150,,,
02110,421,333,414,499,616,485,287,536,499,481,,,,
06057,2628,2185,2687,2487,3042,2539,87,2949,2584,2499,,,,
06063,601,479,622,524,767,609,492,770,514,601,,,,
01013,87,128,62,96,,205,,151,138,,,,,
01001,188,452,507,,466,805,813,,,1613,497,,,
08091,197,,233,169,236,199,112,219,186,159,,112,,
08125,146,171,276,272,178,159,,151,123,53,310,,,
10001,3583,2569,3373,2685,4848,3321,2369,3852,2730,3106,,,,
12081,12784,11208,13660,11798,17573,12751,10056,14190,14633,15151,11225,,,
01027,174,134,156,126,191,191,108,183,116,318,214,,,
05109,191,26,163,2,203,187,,173,,183,53,,,
08057,20,27,32,27,39,40,,34,30,36,,,,
01021,635,,,,921,1222,782,1428,,1453,418,,,
05045,2468,1953,2383,1766,5888,2322,1546,2745,3860,1754,,,,
08079,40,50,55,37,61,33,,49,40,44,,24,,
01037,125,51,62,27,153,116,,273,2,246,20,,,
01111,312,112,313,153,514,,565,32,308,921,90,,,
06077,10966,8188,11233,6296,13286,10832,63,11347,10783,10765,,,,
04023,765,,711,553,940,753,494,884,639,761,,,,
05017,138,95,129,16,172,142,139,146,4,158,127,,,
06027,244,177,219,179,253,209,158,203,203,198,,,,
05107,290,209,241,234,287,232,266,280,267,358,25,,,
12037,470,462,607,491,686,468,,620,670,169,,,,
06055,1585,1467,1667,1727,2096,1604,1025,1811,1746,1365,,,,
05149,224,210,242,199,392,454,,317,,189,120,,,
05103,306,219,341,518,420,294,463,273,83,531,,,,
08093,882,,974,896,1020,766,,966,935,728,,,,
01089,8288,5324,7790,5880,11713,10264,7738,10271,7492,10905,,,,
06039,2305,1593,2229,1857,3266,2446,1395,2703,2187,2621,,,,
12059,169,112,332,139,183,184,,179,238,200,,,,
01123,176,280,291,87,,189,,25,245,,269,,,
06113,2329,2155,2615,2401,3088,2404,1888,2519,2550,2094,,,,
08115,41,53,53,62,52,33,,39,44,61,49,,,
05143,4267,2979,3974,8904,5080,4348,3047,4687,4068,3462,,,,
01033,603,,517,,1356,2833,,1196,1206,936,,,,
06019,13202,10777,13313,11671,13983,12566,7996,12467,12134,12079,,,,
01117,,4465,5408,5003,6031,4352,,5433,,5116,,,,
08097,745,688,668,1254,1009,695,,927,506,655,,,,
12007,435,297,474,355,485,439,,446,601,412,,,,
05033,1180,757,995,736,1426,1198,1048,1243,929,1284,,,,
08075,383,174,392,369,400,389,,371,,463,604,,,
05007,7933,5951,7500,6269,9173,8112,4501,8558,13939,7738,,,,
06083,4498,3802,4660,2801,5218,4557,2667,4766,4484,3812,,,,
08119,947,653,1900,1642,988,860,,996,900,815,,,,
01043,1935,5,1074,,2713,2109,2294,9539,9,2594,,,,
04001,360,322,390,339,627,369,364,461,702,414,,,,19
05129,121,41,79,4,208,123,180,156,70,175,,,,
05113,386,324,285,308,580,377,382,462,290,494,,,,
09013,1697,1586,1648,1702,2494,1794,1481,2181,1591,1997,,,,
04007,,,,,1813,,970,,,1264,,,,60
05119,8003,6499,7325,7231,10366,8068,6125,9162,7764,7608,,,,
12021,15244,16265,15312,22694,23494,15869,,18345,18984,16738,,,,
06053,4038,3343,4270,3780,4457,4067,2523,3880,3923,1735,,,,
06089,3702,2780,3437,3176,4333,3713,2501,3863,3543,3482,,,,
