FIPS,Year,TotalSales,AssdTotalValue_mean,AssdTotalValue_median,sales_ratio_mean,sales_ratio_median,sales_ratio_non_nulls_count,freq_valid_sales_ratio
08067,2016,1254,29398.763955342904,24890.0,0.10524144952075577,0.07960266702952783,1254,1.0
08067,2015,1206,28583.84742951907,24760.0,0.1069230601081223,0.07960214545412252,1206,1.0
08067,2014,1201,27712.87260616153,22390.0,0.10862334690238068,0.07960349208745314,1201,1.0
08067,2013,1184,25264.24831081081,22465.0,0.11105615170764538,0.07960389161464299,1184,1.0
08065,2022,210,21063.909523809525,19539.0,0.07617336476446518,0.06950029421942573,210,1.0
08065,2021,246,21195.69512195122,19957.0,0.10037604843495687,0.07150054349999824,246,1.0
08065,2020,189,18282.51851851852,15687.0,0.11197871543837733,0.0715002771909321,189,1.0
08065,2019,189,18917.9417989418,16345.0,1.0,1.0,189,1.0
08065,2018,201,13007.636815920398,11523.0,0.11229965663889831,0.07200116633274502,201,1.0
08065,2017,220,15944.472727272727,13251.5,0.11463009828074543,0.07200076491340865,220,1.0
08065,2016,224,13997.517857142857,12719.5,0.09954696972597463,0.07960030955657785,224,1.0
08065,2015,109,15016.08256880734,13528.0,0.10662416100510824,0.0796005077323059,109,1.0
08065,2014,111,14356.333333333334,11655.0,0.10807845225001254,0.07960027804350968,111,1.0
08063,2022,146,13104.349315068494,10378.5,0.09536438561601525,0.06950090846685292,146,1.0
08063,2021,153,12128.183006535948,8691.0,0.08143913413569505,0.07150118603863097,153,1.0
08063,2020,133,9317.541353383458,7660.0,0.08048447604468792,0.07150181906062011,133,1.0
08063,2019,95,10375.621052631579,8949.0,0.08170350941172677,0.0715015997940495,95,1.0
08063,2018,93,8512.021505376344,6546.0,0.08491936610123324,0.07200062203561154,93,1.0
08063,2017,57,11131.59649122807,8334.0,0.08427211785329927,0.07406072802926258,57,1.0
08063,2016,32,9337.15625,9209.5,0.08157394456114596,0.07959972617366226,32,1.0
08061,2022,11,6340.0,5160.0,0.07947793945405565,0.06950036881889977,11,1.0
08061,2021,6,3058.3333333333335,3390.0,0.10794555147328766,0.07156087636601383,6,1.0
08061,2020,16,4570.0,4015.0,,,,
08061,2019,16,5775.0,4170.0,0.07152306949241144,0.07152268572845524,16,1.0
08061,2018,12,3007.5,2405.0,0.07207441114265385,0.07206953056290633,12,1.0
08061,2017,23,4803.913043478261,4490.0,0.08328339020667232,0.07201629589234446,23,1.0
08061,2016,16,3637.5,3150.0,0.07966233194494783,0.07960503714712872,16,1.0
08061,2015,20,3602.5,2305.0,0.07960388919400055,0.07961474185432404,20,1.0
08061,2014,13,3561.5384615384614,3800.0,0.07964480948417603,0.0796070034009321,13,1.0
08061,2012,16,3206.875,2110.0,0.08020829718647286,0.07961551172930925,16,1.0
08059,2023,9315,40443.850885668275,34650.0,0.07216256366212374,0.060879486617374495,9315,1.0
08059,2022,11016,31561.636891793754,28876.5,0.07848423171450851,0.0695000349255008,11016,1.0
08059,2021,13667,36142.131118753205,30142.0,0.0801607965641074,0.07150006185899495,13560,0.992170922660423
08059,2020,12790,31953.772243940577,27695.0,0.0813638855599855,0.07150005892108599,12790,1.0
08059,2019,11945,32447.547090832984,27577.0,0.08127899769089318,0.0715000673148403,11945,1.0
08059,2018,12200,28858.69606557377,24175.5,0.08407613709253578,0.07200003841794887,12200,1.0
08059,2017,12827,29010.03937007874,24339.0,0.08396145344332577,0.07200007899076137,12827,1.0
08059,2016,13068,25397.600168350167,21587.0,0.0992100140363412,0.07960027986493474,13068,1.0
08059,2015,13102,25621.05968554419,21358.5,0.09357804131014807,0.07960025789813024,13102,1.0
08059,2014,12193,20533.67735585992,17127.0,,,,
08057,2022,36,32949.833333333336,13426.0,0.08050153899042246,0.06950025424889611,36,1.0
08057,2021,39,16640.410256410258,12059.0,0.07829488377972524,0.07150118959029882,39,1.0
08057,2020,34,8594.911764705883,9175.5,0.07150052262837626,0.07150112621462595,34,1.0
08057,2019,40,20486.475,10700.0,0.08144001304697217,0.07150166632092685,38,0.95
08057,2018,20,10488.3,9925.0,0.10177247470439135,0.07204512411517361,20,1.0
08057,2017,32,8177.15625,6900.0,0.07883586165761917,0.07201193143161388,32,1.0
08057,2016,30,8905.2,7728.0,0.08004162195189751,0.0795993398926281,29,0.9666666666666667
08057,2015,27,8443.555555555555,6789.0,0.06519419267144161,0.0658670185841348,27,1.0
08057,2014,27,11052.888888888889,8314.0,0.08742802421854001,0.0796011173910219,27,1.0
08055,2022,201,9210.243781094527,7182.0,0.07473497898471922,0.06950070209548499,201,1.0
08055,2021,244,10277.88524590164,8285.0,0.07869421436717586,0.07150063402398063,244,1.0
08055,2020,207,8523.019323671497,6566.0,0.07838816223802539,0.07150024704438139,207,1.0
08055,2019,198,8309.429292929293,6537.0,0.08744933075552913,0.07150046133868726,198,1.0
08055,2018,240,8344.808333333332,6437.0,0.08236434512538778,0.07200062699674878,240,1.0
08055,2017,197,8406.908629441625,6537.0,0.08963897708681995,0.07200098355891853,197,1.0
08055,2016,191,8667.015706806284,6882.0,0.10372855566565542,0.07960129159062193,191,1.0
08055,2015,178,9718.106741573034,7861.5,0.10085827181525758,0.07960199004975124,178,1.0
08055,2014,119,9071.747899159664,6166.0,0.1012198230394578,0.07960122404203314,119,1.0
08053,2022,3,9946.666666666666,12390.0,0.06951753384351901,0.06950911640953716,3,1.0
08053,2021,2,6695.0,6695.0,0.07174047954866009,0.07174047954866009,2,1.0
08053,2020,4,53330.0,37070.0,0.11307365258508288,0.07150453541201753,4,1.0
08053,2019,1,1790.0,1790.0,0.07140007977662545,0.07140007977662545,1,1.0
08051,2022,524,40094.02671755725,27045.0,0.0762187903098595,0.06950081381325557,524,1.0
08051,2021,837,46737.3357228196,30250.0,0.08408639049800726,0.07150068969440139,837,1.0
08051,2020,784,38641.31377551021,24010.0,0.09294338792127059,0.07150130181788417,784,1.0
08051,2019,486,35676.02880658436,24395.0,0.09310029391537147,0.07150237612342222,486,1.0
08051,2018,495,28889.79797979798,19410.0,0.1068722934071222,0.07200271160178191,495,1.0
08051,2017,454,31007.26872246696,19675.0,0.10160114128919095,0.07200217161914539,454,1.0
08051,2016,372,28874.7311827957,17530.0,0.1079521431774555,0.0796006008544253,372,1.0
08051,2015,240,32081.75,17155.0,0.1003807765223461,0.07960122428387763,240,1.0
08051,2014,251,24802.470119521913,16110.0,0.10036146543251893,0.07960161749288602,251,1.0
08049,2022,998,34102.76553106213,27050.0,0.07688796332895546,0.069502031768639,998,1.0
08049,2021,1267,35849.41594317285,28170.0,0.08836383188301052,0.07150204404589212,1267,1.0
08049,2020,1321,31394.065102195305,25050.0,0.09786712578042742,0.07150366748166259,1321,1.0
08049,2019,1248,28898.20512820513,23005.0,0.09160830476826337,0.07150335810413953,1248,1.0
08049,2018,1267,22825.067087608524,18750.0,0.0976654924018536,0.0720027364460407,1267,1.0
08049,2017,1285,24410.25680933852,18210.0,0.10185093368060866,0.07200248820693587,1285,1.0
08049,2016,1166,20674.210977701543,16145.0,0.10773055029279803,0.07960314335242133,1166,1.0
08049,2015,984,22237.388211382113,16840.0,0.09909472504331147,0.07960267818644381,984,1.0
08049,2014,759,22878.02371541502,16820.0,0.09952343084232028,0.07960526315789473,751,0.9894598155467721
08049,2012,71,25426.478873239437,18950.0,0.08859732031964951,0.07960083546066372,71,1.0
08047,2022,188,26553.67021276596,25415.0,0.07161254950619747,0.06949904485419978,188,1.0
08047,2021,236,27539.322033898305,25875.0,0.0790621526448373,0.07149989126437478,236,1.0
08047,2020,201,25924.67661691542,23890.0,0.08823211363388608,0.07150107854333207,201,1.0
08047,2019,167,23235.62874251497,22010.0,0.10560021523487649,0.07150563794453024,167,1.0
08047,2018,186,20619.247311827956,18865.0,0.10166681005370003,0.07200213078212643,186,1.0
08047,2017,169,18913.78698224852,17830.0,0.10968076990257344,0.07200419627104096,169,1.0
08047,2016,176,20932.954545454544,18125.0,0.10351201781550304,0.07960312691464101,176,1.0
08047,2015,171,22404.035087719298,19640.0,0.09943699127776573,0.07960118216361924,171,1.0
08047,2014,157,18765.66878980892,17240.0,0.10149747295235602,0.07960506016661524,157,1.0
08045,2022,1146,34522.635253054104,26120.0,0.07253843175618219,0.06950274417598507,1146,1.0
08045,2021,1663,34984.68430547204,27100.0,0.08916735314751364,0.07150368033648791,1663,1.0
08045,2020,1536,33840.104166666664,25730.0,0.09264070372007738,0.07150232952714211,1536,1.0
08045,2019,1371,30643.975200583514,23580.0,0.08805026665195126,0.07150238341278042,1371,1.0
08045,2018,1431,27501.362683438154,21210.0,0.08855081067308797,0.07200071199715201,1431,1.0
08045,2017,1312,27032.431402439026,21685.0,0.09295183981308541,0.07200100625731354,1312,1.0
08045,2016,1300,24244.284615384615,19440.0,0.10028447832898982,0.07960273357013298,1300,1.0
08045,2015,1197,25609.84962406015,20110.0,0.10129275336787852,0.07960150293120541,1197,1.0
08045,2014,1046,20996.711281070744,15140.0,,,,
08043,2022,971,16110.19876416066,14456.0,0.07086777281319953,0.06950071156907178,971,1.0
08043,2021,1219,17658.40442986054,15644.0,0.08253883579227629,0.07150082244616286,1219,1.0
08043,2020,1167,13984.347043701799,12142.0,0.09008473506180294,0.07150123739217293,1167,1.0
08043,2019,1143,13429.59930008749,11940.0,0.09811361896446581,0.07150131569322873,1143,1.0
08043,2018,1130,11960.567256637169,10022.0,0.11148492742835876,0.11148492742835876,4,0.0035398230088495575
08043,2017,2313,11295.19757890186,9907.0,0.09010595891546033,0.0720000451375567,2313,1.0
08043,2016,1108,11441.841155234657,10320.0,,,,
08043,2015,2061,11282.979136341582,10050.0,0.08955106441417941,0.07960727837973758,2061,1.0
08043,2012,725,11008.452413793104,9992.0,0.09437404064407671,0.07960064516710369,725,1.0
08041,2022,16131,24123.125658669644,21370.0,0.08979260648769218,0.06950276652504693,16131,1.0
08041,2021,22917,26057.77501418161,21880.0,0.09591911758100283,0.0715042735042735,22917,1.0
08041,2020,21170,21153.593764761456,18660.0,,,,
08041,2019,39550,21678.642225031606,18630.0,0.08250774747696567,0.07150289017341041,39550,1.0
08041,2018,20047,18780.9243278296,15340.0,,,,
08041,2017,41044,20636.824870870285,17100.0,0.077065889680261,0.072,41044,1.0
08041,2016,19201,18017.70741107234,14780.0,,,,
